Marque,Model,Année,Kilométrage,Code Postal,Prix
OPEL COMBO 4 LIFE,IV 1.5 100 START/STOP L1H1 INNOVATION,2020,16 483 km,27,24 490 €
SEAT ARONA,1.0 ECOTSI 95 S&S STYLE,2019,34 941 km,30,14 390 €
BMW SERIE 2 F46 GRAN TOURER,(F46) GRAN TOURER 216D BUSINESS 5PL,2017,87 350 km,57,15 470 €
PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S GT LINE EAT8,2018,28 662 km,78,20 490 €
MINI MINI 3 5P,III COOPER SD 170 FINITION BUSINESS BVA8 5P,2018,59 375 km,78,23 990 €
RENAULT KANGOO 2,II (2) 1.5 DCI 75 ENERGY ZEN EURO6,2017,93 211 km,66,13 490 €
MERCEDES CLASSE B 2,II 180 CDI DESIGN,2013,142 814 km,80,10 790 €
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,2019,38 396 km,78,19 290 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT EXCLUSIVE DSG7,2018,107 321 km,69,27 490 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE LIMITED EDC,2019,63 917 km,45,16 500 €
LAND ROVER RANGE ROVER EVOQUE 2,II P200 AWD R-DYNAMIC HSE BVA9,2019,15 900 km,75,62 000 €
PEUGEOT 508 (2E GENERATION),II 1.6 PURETECH 180 S&S GT LINE EAT8,2020,26 910 km,78,30 500 €
MINI COUNTRYMAN 2,II COOPER 136 BV6,2018,64 667 km,84,23 410 €
RENAULT CAPTUR 2,II 1.3 TCE 140 ZEN EDC MY21,2021,15 km,69,21 980 €
VOLKSWAGEN TIGUAN 2,II 1.5 TSI 150 EVO BLACK R-LINE DSG7,2019,48 000 km,69,35 980 €
RENAULT CLIO 5,V 1.0 TCE 90 RS LINE,2023,1 km,42,22 350 €
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 BUSINESS,2020,136 920 km,69,19 190 €
MERCEDES CLASSE C 3 COUPE,III COUPE 220 CDI BLUEEFFICIENCY EXECUTIVE 7G-TRONIC PLUS,2011,167 219 km,95,15 660 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S FEEL BUSINESS,2020,45 864 km,33,12 860 €
MASERATI QUATTROPORTE 6,VI 3.8 V8 530 SPORT GTS AUTOMATIQUE,2012,64 285 km,69,64 270 €
PEUGEOT 308 (2E GENERATION),II 2.0 BLUEHDI 150 FAP FELINE AUTO,2018,98 731 km,27,19 410 €
AUDI A5,3.0 V6 TDI 240 QUATTRO AMBITION LUXE,2007,126 002 km,66,21 560 €
PEUGEOT 308 (2E GENERATION) SW,II SW 1.2 PURETECH 130 S&S ALLURE,2016,168 236 km,61,14 240 €
RENAULT CLIO 4 SOCIETE,IV (2) SOCIETE 1.5 DCI 90 ENERGY AIR MEDIANAV 82G,2019,119 591 km,24,10 840 €
PEUGEOT 208,1.2 PURETECH 82 ALLURE 5P,2012,105 613 km,27,9 970 €
CITROEN C3 AIRCROSS,1.2 PURETECH 110 6CV S&S SHINE BV6,2022,39 045 km,24,20 630 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2019,95 625 km,78,15 010 €
CITROEN BERLINGO 2,II (3) 1.6 BLUEHDI 100 S&S BUSINESS M,2016,121 981 km,66,10 160 €
CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S FEEL BUSINESS,2019,59 499 km,28,15 650 €
PEUGEOT 5008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS,2018,96 229 km,78,28 420 €
AUDI S3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 50 TFSI 300 QUATTRO S TRONIC 7,2020,99 895 km,31,41 980 €
CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S FEEL BUSINESS BV6,2021,61 059 km,33,17 340 €
MERCEDES GLC,250 D FASCINATION 4MATIC,2020,84 942 km,61,51 360 €
RENAULT KANGOO 2,II 1.6 16V 105 ETHANOL EXPRESSION,2011,97 084 km,11,12 740 €
BMW SERIE 3 F30,(F30) (2) 318D 150 8CV LUXURY BVA8,2018,83 160 km,78,26 440 €
RENAULT CLIO 5,V 1.0 TCE 100 ZEN,2021,1 079 km,37,16 330 €
MERCEDES CLASSE S 7,VII 500 EXECUTIVE 4MATIC 9G-TRONIC,2018,117 679 km,77,60 900 €
MERCEDES-AMG GT ROADSTER,ROADSTER 4.0 V8 C EDITION 50,2019,12 469 km,67,186 670 €
AUDI A6 (4E GENERATION),IV 3.0 BITDI 313 AVUS QUATTRO TIPTRONIC 8,2014,108 427 km,91,26 590 €
MERCEDES GLE COUPE,350 D FASCINATION 4MATIC,2014,147 028 km,61,51 800 €
AUDI A3 (2E GENERATION) CABRIOLET,II (3) CABRIOLET 1.8 TFSI 160 AMBITION 9CV STRONIC,2010,56 275 km,77,18 400 €
RENAULT CAPTUR 2,II 1.3 TCE 140 INTENS MY21,2022,11 km,69,29 050 €
FERRARI 488 PISTA,3.9 PISTA DCT,2018,2 786 km,95,438 430 €
BMW SERIE 1 F20 5 PORTES,(F20) (2) 118D LOUNGE BVA8 5P,2017,24 045 km,72,24 130 €
PORSCHE 911 TYPE 992,(992) COUPE 3.0 450 CARRERA 4S PDK8,2021,29 766 km,27,221 270 €
MINI MINI 3 3P,III 2.0 192 COOPER S PACK RED HOT CHILI BVA,2014,69 409 km,84,29 480 €
PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S CROSSWAY E6,2020,67 280 km,78,23 190 €
RENAULT TRAFIC 3,III FOURGON GRAND CONFORT L1H1 1200 ENERGY DCI 125 E6,2017,112 153 km,28,21 830 €
AUDI S3 (2E GENERATION),II (2) 2.0 TFSI 265 QUATTRO BV6,2009,96 174 km,95,23 360 €
AUDI A5 SPORTBACK (2E GENERATION),II SPORTBACK 2.0 TFSI 252 AVUS QUATTRO S TRONIC 7 5PL,2017,36 425 km,69,50 580 €
RENAULT CLIO 5,V 1.0 TCE 90 RS LINE,2023,1 km,42,21 470 €
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2,2017,59 111 km,61,20 550 €
CITROEN C4 PICASSO 2,II (2) 1.6 BLUEHDI 120 S&S BUSINESS + EAT6,2019,89 521 km,35,18 230 €
MERCEDES GLC,250 D EXECUTIVE 4MATIC,2016,92 434 km,24,39 430 €
CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S SHINE BUSINESS,2017,57 310 km,47,18 730 €
AUDI Q2,(2) 35 TFSI 150 S LINE PLUS S TRONIC,2020,24 079 km,69,44 750 €
CITROEN C3 AIRCROSS,1.6 BLUEHDI 100 S&S FEEL BV6,2018,55 337 km,47,20 550 €
PORSCHE MACAN,3.6 V6 TURBO PACK PERFORMANCE,2019,55 020 km,66,87 460 €
AUDI RS6 (2E GENERATION) AVANT,II (2) AVANT 5.0 V10 FSI 580 PLUS,2009,117 800 km,24,46 990 €
PORSCHE MACAN,3.0 V6 26CV GTS,2016,63 111 km,63,79 020 €
DACIA DOKKER STEPWAY,STEPWAY 1.5 DCI 95 BLUE,2017,18 879 km,66,16 630 €
MASERATI GRANTURISMO,4.7 V8 460 S AUTOMATIQUE,2013,64 400 km,74,89 480 €
AUDI A3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 1.6 TDI 115 BUSINESS LINE S TRONIC 7,2018,112 163 km,24,19 320 €
MITSUBISHI ASX,(4) 1.6 MIVEC 7CV BLACK COLLECTION,2020,29 580 km,69,20 850 €
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,2017,123 147 km,45,18 470 €
PEUGEOT 308 (2E GENERATION) SW,II SW 2.0 BLUEHDI 150 S&S FELINE,2015,145 516 km,61,15 780 €
PEUGEOT 2008,(2) 1.2 PURETECH 82 ACTIVE,2016,26 185 km,47,15 190 €
AUDI A3 (3E GENERATION),III (2) 2.0 TDI 150 DESIGN LUXE S TRONIC 6,2016,111 321 km,78,28 080 €
DODGE CHALLENGER 2,6.4 V8 485 SRT 392,2020,12 960 km,67,77 650 €
RENAULT GRAND SCENIC 4,IV 1.7 DCI BLUE 150 BUSINESS INTENS EDC,2020,48 358 km,69,25 280 €
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2021,5 988 km,66,17 470 €
BMW SERIE 1 F40,(F40) 118I 140 EDITION SPORT DKG7,2018,16 620 km,26,33 080 €
OPEL CORSA 6,VI MOTEUR ELECTRIQUE 136 CORSA-E FIRST EDITION,2019,3 036 km,27,24 130 €
PEUGEOT 508 (2E GENERATION) SW,II SW 2.0 BLUEHDI 160 S&S ACTIVE BUSINESS EAT8,2020,139 231 km,78,22 030 €
OPEL CROSSLAND X,1.5 DIESEL 102 BUSINESS INNOVATION,2018,44 403 km,27,21 260 €
AUDI A5 (2E GENERATION),II 2.0 TDI 190 S LINE S TRONIC,2016,95 336 km,95,33 860 €
PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE BUSINESS EAT6,2019,102 184 km,35,23 840 €
PEUGEOT 308 (3E GENERATION) SW,III SW PURETECH 130 S&S ACTIVE PACK EAT8,2020,22 871 km,45,25 620 €
LEXUS IS 3,III (2) 300H BUSINESS,2017,56 783 km,78,31 530 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT,2023,1 km,42,27 120 €
PEUGEOT 108,1.0 VTI 72 S&S 3CV LIKE 5P,2020,40 278 km,24,9 930 €
OPEL GRANDLAND X,1.2 TURBO 130 ELITE,2019,7 604 km,26,39 020 €
RENAULT TRAFIC 3,III FOURGON GRAND CONFORT L1H1 1200 ENERGY DCI 125 E6,2017,148 084 km,28,17 490 €
CITROEN C3 (2E GENERATION),II (2) 1.2 PURETECH 82 CONFORT,2016,96 324 km,66,8 980 €
PEUGEOT 2008,(2) 1.5 BLUEHDI 100 ALLURE,2018,39 383 km,24,19 590 €
PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE,2019,40 828 km,78,28 060 €
AUDI Q3,2.0 TDI 140 AMBIENTE,2015,116 804 km,55,21 400 €
RENAULT SCENIC 4,IV 1.5 DCI 110 ENERGY BUSINESS EDC,2017,105 751 km,72,20 720 €
VOLKSWAGEN T-ROC,1.5 TSI 150 EVO CARAT DSG7,2022,1 505 km,69,32 830 €
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 EAT 8 S&S GT PACK,2020,1 km,42,29 440 €
PORSCHE CAYENNE 3 COUPE,III COUPE E-HYBRID TURBO S,2020,7 684 km,75,225 990 €
BMW SERIE 4 F36 GRAN COUPE,(F36) GRAN COUPE 430D 258 LUXURY BVA8,2014,82 483 km,95,33 880 €
RENAULT CLIO 4 ESTATE,IV ESTATE 1.5 DCI 90 ENERGY BUSINESS 82G,2016,117 950 km,69,10 670 €
OPEL CROSSLAND,(2) 1.5 DIESEL 110 ELEGANCE BUSINESS,2022,25 092 km,27,24 580 €
PEUGEOT 508 RXH,(2) 2.0 BLUEHDI 180 S&S EAT6,2014,162 365 km,24,16 660 €
MERCEDES CLASSE E 5,V 220 D AMG LINE 9G-TRONIC,2020,28 655 km,84,52 440 €
NISSAN QASHQAI 2,II (2) 1.6 DCI 130 N-CONNECTA XTRONIC,2018,59 681 km,24,24 160 €
VOLKSWAGEN PASSAT CC,2.0 TDI 170 BLUEMOTION TECHNOLOGY CARAT EDITION DSG6,2011,96 135 km,55,16 780 €
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 150 SE DYNAMIC BVA,2019,55 570 km,37,39 220 €
MINI COUNTRYMAN 2,II COOPER FINITION CHILI 136 BV6,2016,40 280 km,24,24 270 €
PORSCHE CAYMAN TYPE 987,(987) (2) 2.9 265 PDK,2010,76 136 km,95,45 840 €
HONDA CR-V 5,V 2.0 I-MMD 2WD EXECUTIVE,2021,1 239 km,60,44 820 €
PEUGEOT 208,(2) 1.2 PURETECH 82 SIGNATURE 5P,2018,31 099 km,72,16 920 €
SKODA KAROQ,2.0 TDI 150 SCR STYLE 4X4 DSG7,2017,33 195 km,31,35 730 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CONFORTLINE BUSINESS BV6,2019,58 570 km,55,32 480 €
MERCEDES GLA,(2) 200 D 7CV FASCINATION 7G-DCT,2017,70 150 km,69,31 020 €
NISSAN NV300,FOURGON 1.6 DCI 120 OPTIMA L1H1 2.8T,2019,72 566 km,69,23 980 €
DS DS 7 CROSSBACK,1.6 PURETECH 180 PERFORMANCE LINE EAT8,2017,60 984 km,69,41 360 €
PORSCHE 911 TYPE 992 CABRIOLET TURBO,(992) CABRIOLET 3.8 650 TURBO S PDK,2021,2 739 km,67,335 430 €
AUDI A4 (5E GENERATION) AVANT,V (3) AVANT 45 TDI 231 S LINE QUATTRO TIPTRONIC 8,2021,58 500 km,24,52 530 €
PORSCHE BOXSTER 3 TYPE 981,III (981) 2.7 265 PDK,2012,36 570 km,51,56 070 €
MINI MINI 3 3P,III ONE D 95 EDITION BLACKFRIARS,2018,83 865 km,24,21 940 €
NISSAN MICRA 5,V 1.0 IG-T 92 MADE IN FRANCE,2020,5 700 km,61,18 220 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S SHINE,2020,21 498 km,24,18 890 €
VOLKSWAGEN GOLF 7,VII (2) 1.5 TSI EVO 130 6CV BLUEMOTION TECHNOLOGY CARAT DSG7 5P,2017,23 633 km,78,25 380 €
RENAULT MEGANE 4,IV (2) 1.3 TCE 160 FAP EDITION ONE EDC,2021,5 600 km,77,27 980 €
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE EAT8,2019,39 546 km,47,20 310 €
LAND ROVER DEFENDER UTILITAIRE PICK UP,110 HARD TOP S,2014,180 400 km,24,38 390 €
FIAT 500 (2E GENERATION),II (2) 1.2 8V 69 ECO PACK LOUNGE,2019,49 609 km,66,11 850 €
VOLKSWAGEN TIGUAN,(2) 2.0 TSI 210 SPORTLINE 4MOTION,2012,95 280 km,77,23 380 €
CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S FEEL,2016,28 523 km,24,15 800 €
FORD KUGA 2,II (2) 2.0 TDCI 180 S&S 4X4 ST LINE POWERSHIFT,2017,49 754 km,69,29 730 €
MINI MINI 3 CLUBMAN,III CLUBMAN 2.0 COOPER S 192 RED HOT CHILI BVA8,2017,55 930 km,78,26 890 €
CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S FEEL EAT8,2018,70 454 km,24,32 710 €
AUDI A3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 2.0 TDI 150 S LINE S TRONIC 7,2017,73 191 km,91,31 590 €
PEUGEOT 3008 (2E GENERATION),II 1.6 BLUEHDI 120 S&S EURO6 ACTIVE BUSINESS,2017,117 523 km,24,20 850 €
LAND ROVER RANGE ROVER SPORT 2,II (2) SDV6 3.0 249 SE AUTO,2016,97 580 km,74,51 050 €
SKODA KODIAQ,2.0 TDI 190 SCR 4X4 STYLE DSG7 7PL,2018,49 797 km,69,39 570 €
PEUGEOT 5008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,2020,75 114 km,78,33 190 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,2022,12 km,61,25 400 €
MINI MINI 3 5P,III 1.5 136 COOPER FINITION RED HOT CHILI 5P,2018,38 826 km,36,18 990 €
AUDI Q2,1.4 TFSI 150 COD SPORT S TRONIC,2018,61 163 km,01,28 400 €
PORSCHE MACAN,(2) 2.0 245,2018,24 513 km,67,76 330 €
KIA CEED 3 SW,III SW 1.0 T-GDI 120 MOTION ISG,2022,12 km,33,24 670 €
SEAT LEON 3 ST,III (2) ST 1.6 TDI 115 S&S STYLE BUSINESS DSG,2019,114 430 km,35,14 820 €
FIAT 500 X,1.4 MULTIAIR 140 S-DESIGN 4X2 DCT,2018,80 630 km,95,17 470 €
DACIA DUSTER 2,II 1.0 TCE 100 ESSENTIEL 4X2,2020,16 103 km,36,17 340 €
CITROEN C3 AIRCROSS,1.6 BLUEHDI 120 S&S FEEL BV6,2020,88 987 km,31,17 960 €
FORD MONDEO 3,III (2) 2.0 TDCI 140 ECONETIC FAP BUSINESS NAV BV6,2013,121 137 km,11,11 750 €
BMW SERIE 3 F30,(F30) (2) 320D 190 BUSINESS DESIGN BVA8,2018,105 623 km,31,24 690 €
BMW SERIE 5 F11 TOURING,(F11) (2) TOURING 525D XDRIVE 218 LOUNGE PLUS BVA8,2015,111 600 km,24,29 880 €
RENAULT ARKANA,1.6 E-TECH 145 RS LINE 21B,2023,4 329 km,31,38 730 €
BMW SERIE 7 G11,(G11) 730LDA XDRIVE 265 EXCLUSIVE,2019,37 318 km,84,67 830 €
PEUGEOT 2008,(2) 1.5 BLUEHDI 120 S&S ALLURE BUSINESS EAT6,2019,101 286 km,69,16 740 €
PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S CROSSWAY,2019,64 206 km,47,30 120 €
SMART FORTWO 3,COUPE BRABUS 110CH,2017,24 721 km,92,22 990 €
PORSCHE MACAN,(2) 3.0 S 354 24CV,2021,32 657 km,27,111 750 €
BMW SERIE 2 F44 GRAN COUPE,(F44) GRAN COUPE 216D M SPORT AUTO,2021,35 964 km,59,33 460 €
RENAULT MEGANE 3 COUPE,III COUPE 1.9 DCI 130 FAP BOSE,2011,132 531 km,11,11 140 €
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,2020,12 km,69,23 570 €
RENAULT SCENIC 4,IV 1.6 DCI 130 ENERGY INTENS,2018,55 614 km,35,19 140 €
AUDI A3 (4E GENERATION) SPORTBACK,IV SPORTBACK 35 TDI 150 S LINE S TRONIC 7,2019,28 329 km,57,35 390 €
ALFA ROMEO STELVIO,2.0 TURBO 280 Q4 SPORT EDITION AT8,2017,21 925 km,92,48 720 €
LAND ROVER RANGE ROVER 4,IV (2) 5.0 V8 S/C 525 VOGUE SWB,2019,93 280 km,69,95 380 €
TOYOTA AURIS 2 TOURING SPORTS,II (2) TOURING SPORTS 1.8 HYBRID 136 COLLECTION CVT AUTO,2017,33 123 km,78,26 120 €
RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 RS LINE EDC,2022,11 km,55,26 980 €
MINI MINI 2 3P,II (2) 1.6 184 COOPER S BVA,2012,90 508 km,95,18 110 €
BMW SERIE 3 F30,(F30) (2) 330E 252 HYBRIDE SPORT BVA8,2018,64 648 km,91,28 780 €
VOLKSWAGEN CARAVELLE MINIBUS,LONGUE 2.0 BITDI 180 4MOTION,2011,281 410 km,74,20 310 €
CITROEN C-ELYSEE,(2) 1.2 PURETECH 82 LIVE,2018,45 545 km,63,10 640 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S SHINE EAT6,2019,47 567 km,47,22 120 €
AUDI RS4 (5E GENERATION) AVANT,V AVANT V6 2.9 TFSI 450 QUATTRO TIPTRONIC,2017,35 474 km,67,80 190 €
CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 75 S&S FEEL,2017,86 344 km,28,11 740 €
RENAULT CLIO 4,IV (2) 1.2 TCE 120 ENERGY INTENS EDC,2018,35 403 km,66,15 330 €
LAND ROVER RANGE ROVER EVOQUE,TD4 DYNAMIC,2012,151 200 km,24,25 780 €
VOLKSWAGEN GOLF 8,VIII 2.0 TDI SCR 150 LIFE 1ST DSG7,2019,4 901 km,55,34 180 €
LAND ROVER RANGE ROVER EVOQUE 2,II 1.5 P300E 11CV PHEV 4WD R-DYNAMIC SE BVA8,2022,21 190 km,60,87 910 €
PORSCHE CAYENNE,(2) 4.8 V8 385 S TIPTRONIC S,2009,217 211 km,31,20 550 €
CHEVROLET CAPTIVA,(2) 2.2 VCDI 184 12CV LTZ AWD BVA,2013,174 621 km,28,13 670 €
MINI COUNTRYMAN,COOPER D BVA,2013,180 000 km,24,13 780 €
RENAULT CAPTUR 2,II 1.5 BLUE DCI 95 BUSINESS,2021,41 253 km,28,17 540 €
AUDI Q3 (2E GENERATION),II 35 TFSI 150 S LINE S TRONIC 7,2018,43 507 km,78,37 340 €
MINI MINI 3 CLUBMAN,III CLUBMAN 1.5 COOPER 136 KENSINGTON BVA7,2019,70 058 km,78,29 730 €
KIA STONIC,1.0 T-GDI 120 ISG LAUNCH EDITION,2020,31 611 km,26,20 760 €
RENAULT ARKANA,1.3 TCE 140 INTENS EDC 21B,2023,1 km,42,36 830 €
VOLKSWAGEN GOLF PLUS,(2) 2.0 TDI 140 FAP CONFORTLINE DSG6,2014,72 663 km,55,15 240 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S SHINE,2017,43 451 km,38,15 640 €
MERCEDES CLA,(2) 200 D BUSINESS EDITION,2018,107 953 km,66,30 490 €
KIA CEE D 2,II (2) 1.6 CRDI 136 ISG ACTIVE BV6,2019,59 400 km,76,16 620 €
BMW SERIE 1 E88 CABRIOLET,(E88) CABRIOLET 120I 170 SPORT DESIGN,2007,140 760 km,95,16 060 €
BMW SERIE 3 G20,(G20) 320DA 190 EDITION SPORT,2018,68 480 km,59,36 360 €
MERCEDES CLK 2,II 320 ELEGANCE BVA,2001,176 882 km,95,11 760 €
MINI MINI 3 CLUBMAN,III CLUBMAN 2.0 COOPER D 150 EXQUISITE BVA8,2017,121 231 km,95,23 730 €
NISSAN QASHQAI 2,II (2) 1.2 DIG-T 115 TEKNA,2017,24 699 km,72,21 980 €
NISSAN QASHQAI 2,II 1.2 DIG-T 115 CONNECT EDITION XTRONIC,2013,113 283 km,74,17 200 €
VOLKSWAGEN GOLF 6 CABRIOLET,VI CABRIOLET 1.6 TDI 105 FAP,2013,124 347 km,55,15 110 €
CITROEN C1 (2E GENERATION),II 1.0 VTI 72 FEEL 5P,2017,46 349 km,47,11 730 €
AUDI RS4 (4E GENERATION) AVANT,IV AVANT 4.2 V8 FSI 450 QUATTRO S TRONIC 7,2012,118 080 km,74,55 220 €
OPEL ASTRA 5,V (2) 1.5 DIESEL 122 ULTIMATE AUTOMATIQUE,2021,36 683 km,72,23 960 €
PEUGEOT 208 AFFAIRE,(2) 1.6 BLUEHDI 75 PREMIUM PACK,2019,67 468 km,69,10 150 €
PEUGEOT 508 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE BUSINESS EAT8,2020,83 390 km,31,30 180 €
PEUGEOT PARTNER 2 FOURGON,II (3) 1.6 BLUEHDI 75 STANDARD PREMIUM,2016,113 747 km,35,12 650 €
CITROEN C4 CACTUS,1.6 BLUEHDI 100 S&S SHINE,2018,72 532 km,24,17 400 €
NISSAN JUKE,(2) 1.2 DIG-T 115 TEKNA,2016,96 278 km,63,13 440 €
MERCEDES SLK 3,III 200 BLUEEFFICIENCY 7G-TRONIC,2014,72 072 km,66,28 880 €
BMW X2 F39,(F39) SDRIVE18IA 7CV M SPORT X DKG7,2018,32 776 km,24,35 730 €
VOLKSWAGEN GOLF 6 CABRIOLET,VI CABRIOLET 2.0 TDI 140 CARAT,2014,86 858 km,55,20 380 €
BMW X1 E84,(E84) (2) XDRIVE20D 184 LOUNGE,2015,99 294 km,28,17 650 €
RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 110 ENERGY BUSINESS,2016,103 727 km,35,13 320 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE INTENS,2018,55 322 km,28,19 480 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,2020,13 025 km,11,21 580 €
VOLKSWAGEN T-ROC,1.5 TSI 150 EVO ACTIVE DSG7,2020,15 904 km,69,31 330 €
MERCEDES GLC,220 D EXECUTIVE 4MATIC,2016,89 871 km,24,37 820 €
FORD FIESTA 5,V (2) 1.25 82 WHITE 5P,2016,91 862 km,11,10 180 €
PEUGEOT 3008,(2) 2.0 BLUEHDI 150 S&S 8CV ACTIVE BUSINESS,2017,127 302 km,24,14 290 €
MASERATI GHIBLI 3,III 3.0 V6 430 S Q4 33CV GRANSPORT AUTO,2019,40 553 km,69,72 640 €
AUDI A3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 1.6 TDI 115 DESIGN LUXE S TRONIC 7,2019,74 047 km,91,24 640 €
PEUGEOT 3008 (2E GENERATION),II (2) BLUEHDI 130 S&S GT PACK EAT8,2022,32 km,69,39 560 €
JEEP GRAND CHEROKEE 4,IV (2) 6.4 V8 HEMI SRT BVA8,2015,61 688 km,67,52 390 €
PEUGEOT 5008 (2E GENERATION),II 1.2 PURETECH 130 S&S GT LINE E6,2020,42 325 km,72,35 010 €
AUDI A5 SPORTBACK (2E GENERATION),II SPORTBACK 3.0 TDI 286 AVUS QUATTRO TIPTRONIC 8 5PL,2019,89 088 km,69,46 380 €
VOLKSWAGEN SHARAN 2,II 2.0 TDI 140 FAP BLUEMOTION TECHNOLOGY CARAT 7PL,2014,91 566 km,55,23 700 €
SEAT TARRACO,2.0 TDI 150 S/S XCELLENCE 7PL,2020,50 807 km,78,35 680 €
FORD FIESTA 6 ST,VI 1.5 ECOBOOST 200 ST PLUS 5P,2021,30 043 km,10,27 720 €
RENAULT GRAND SCENIC 3,III (3) 1.6 DCI 130 ENERGY BUSINESS 7PL ECO2,2016,103 633 km,24,14 430 €
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 EAT 8 S&S GT PACK,2020,1 km,42,31 850 €
