Marque,Model,Année,Kilométrage,Code Postal,Prix
RENAULT TWINGO 3,III (2) 0.9 TCE 95 INTENS,2020,45 208 km,31,13 070 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,2021,68 km,66,19 930 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S SHINE,2018,65 751 km,33,16 920 €
AUDI A3 (3E GENERATION) CABRIOLET,III CABRIOLET 1.8 TFSI 180 AMBITION LUXE S TRONIC,2015,67 158 km,92,33 190 €
AUDI Q3,2.0 TDI 140 S LINE,2011,75 753 km,55,20 500 €
CITROEN C3 AIRCROSS,1.6 BLUEHDI 100 S&S FEEL BUSINESS BV6,2020,51 307 km,66,17 100 €
MERCEDES CLASSE B 2,II (2) 220 D FASCINATION 4MATIC 7G-DCT,2016,103 954 km,57,23 300 €
JAGUAR I-PACE,EV400 AWD HSE,2018,41 928 km,95,61 040 €
AUDI A6 (5E GENERATION) AVANT,V AVANT 40 TDI 204 S TRONIC,2022,24 336 km,01,64 230 €
PEUGEOT PARTNER 2 FOURGON,II (3) 1.6 BLUEHDI 75 STANDARD PREMIUM,2016,109 123 km,35,12 140 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 190 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7,2019,106 188 km,57,31 840 €
MERCEDES GLC,220 D FASCINATION 4MATIC,2018,102 545 km,69,39 790 €
OPEL ASTRA 5 SPORTS TOURER,V (2) SPORTS TOURER 1.5 DIESEL 122 EDITION BUSINESS AUTOMATIQUE,2021,7 684 km,26,22 580 €
OPEL CORSA 5,V 1.4 90 EDITION 129G 3P,2017,59 043 km,69,11 320 €
OPEL ADAM,1.4 TWINPORT 87 S/S UNLIMITED,2019,26 489 km,37,12 980 €
PEUGEOT 3008,(2) 1.6 HDI 115 FAP ALLURE,2013,183 003 km,80,13 400 €
TOYOTA RAV 4 (3E GENERATION),III (3) 150 D-4D FAP 2WD LIMITED EDITION,2011,161 353 km,78,12 860 €
SKODA SUPERB 3 COMBI,III (2) COMBI 2.0 TDI SCR 150 8CV SPORTLINE DSG7,2022,9 990 km,33,46 600 €
CADILLAC SERIE 62 COUPE,COUPE,1956,144 461 km,67,46 330 €
MERCEDES GLA,(2) 220 D SENSATION 7G-DCT,2019,96 193 km,60,27 800 €
RENAULT CLIO 4,IV (2) 1.2 TCE 120 ENERGY INITIALE PARIS EDC,2019,37 906 km,77,18 340 €
MERCEDES GLE COUPE 2,II COUPE 350 E 4MATIC AMG LINE,2022,19 656 km,92,128 580 €
MAZDA MX5 (4E GENERATION),IV 1.5 SKYACTIV-G 131 DYNAMIQUE,2015,46 170 km,71,22 780 €
LAND ROVER RANGE ROVER SPORT 2,II (2) 3.0 SDV6 306 20CV HSE AUTO,2016,191 959 km,95,46 720 €
RENAULT SCENIC 4,IV 1.5 DCI 110 ENERGY INTENS EDC,2018,65 104 km,91,20 000 €
CITROEN C4 CACTUS,1.6 BLUEHDI 100 S&S SHINE,2018,69 323 km,24,16 630 €
OPEL CROSSLAND X,1.5 DIESEL 102 ELEGANCE BUSINESS,2018,34 926 km,27,19 360 €
CITROEN JUMPY 3 FOURGON,III TAILLE M BLUEHDI 120 S&S BVM6 CLUB BV6,2016,82 003 km,24,21 980 €
MAZDA MX5 (3E GENERATION),III ROADSTER COUPE 1.8 MZR 125 ELEGANCE CUIR,2010,54 704 km,71,20 430 €
CITROEN C3 (2E GENERATION),II (2) 1.2 PURETECH 82 FEEL EDITION,2015,91 844 km,47,13 110 €
VOLKSWAGEN POLO 6,VI 1.0 80 EDITION,2021,48 986 km,66,16 110 €
PEUGEOT 208,(2) 1.5 BLUEHDI 100 S&S SIGNATURE 5P,2019,167 387 km,35,9 900 €
NISSAN QASHQAI 2,II (2) 1.3 DIG-T 140 N-CONNECTA,2020,58 058 km,91,23 120 €
AUDI A1 (2E GENERATION) SPORTBACK,II 40 TFSI 200 S LINE S TRONIC 6,2018,44 637 km,66,35 920 €
LAND ROVER RANGE ROVER EVOQUE,TD4 PRESTIGE BVA6,2011,177 489 km,80,18 970 €
MERCEDES CLASSE B 3,III 180 D AMG LINE EDITION 7G-DCT,2020,7 616 km,33,40 300 €
MERCEDES CITAN,1.5 109 CDI 90 LONG,2021,97 584 km,25,12 820 €
CITROEN JUMPER 2,II (2) 33 L2H2 BLUEHDI 130 BUSINESS BV6,2015,77 700 km,66,21 630 €
MINI MINI 3 5P,III COOPER S 192 BVA7 5P,2021,51 257 km,33,30 920 €
PEUGEOT 208,(2) 1.5 BLUEHDI 100 S&S 5CV ALLURE BUSINESS 5P E6,2019,56 977 km,35,15 350 €
PEUGEOT 3008 (2E GENERATION),II 2.0 BLUEHDI 180 S&S GT EAT6,2016,77 802 km,24,31 900 €
AUDI A4 (5E GENERATION) AVANT,V AVANT 1.4 TFSI 150,2019,67 160 km,31,27 340 €
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 150 SE BVA,2017,76 254 km,76,31 740 €
MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 7G-DCT,2020,24 629 km,57,30 110 €
PEUGEOT 2008,(2) 1.6 BLUEHDI 100 5CV ALLURE,2018,30 283 km,72,23 160 €
AUDI RS6 (3E GENERATION) AVANT,III (2) AVANT 4.0 TFSI 560 QUATTRO TIPTRONIC,2014,80 122 km,69,90 730 €
DACIA DUSTER,1.5 DCI 110 FAP 4X2 AMBIANCE,2013,140 679 km,66,9 340 €
AUDI A6 (5E GENERATION) AVANT,V AVANT 50 TDI 286 S LINE QUATTRO TIPTRONIC,2018,102 598 km,01,65 750 €
MERCEDES CLASSE CLS 3,III 400 D AMG LINE+ 4MATIC 22CV,2017,70 282 km,69,64 880 €
DODGE CHALLENGER 2,6.1 V8 425 SRT8,2009,65 685 km,67,61 120 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2018,62 879 km,63,18 480 €
JEEP RENEGADE,(2) 1.6 MULTIJET S&S 130 7CV LIMITED,2022,33 461 km,24,24 060 €
FORD KUGA 2,II (2) 1.5 TDCI 120 S&S BUSINESS NAV POWERSHIFT,2016,89 079 km,35,19 450 €
CITROEN C5 AIRCROSS,1.6 HYBRID 225 FEEL E-EAT8,2022,12 km,55,46 110 €
VOLKSWAGEN PASSAT 8 SW,VIII SW 1.6 TDI 120 BLUEMOTION TECHNOLOGY CONFORTLINE BUSINESS,2019,143 631 km,69,17 030 €
RENAULT KADJAR,(2) 1.3 TCE 140 FAP 7CV LIFE,2021,47 982 km,10,19 150 €
RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 115 BLUE BUSINESS,2019,86 807 km,78,16 090 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE INTENS EDC,2018,49 336 km,28,19 690 €
CITROEN C4 SPACETOURER,1.6 BLUEHDI 120 S&S BUSINESS BV6,2019,118 346 km,91,16 060 €
RENAULT CLIO 4,IV (2) 1.5 DCI 90 INTENS EDC,2020,50 658 km,28,14 520 €
AUDI A6 (4E GENERATION),IV (2) 2.0 TDI ULTRA 190 BUSINESS EXECUTIVE S TRONIC,2016,68 679 km,78,32 190 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE INTENS EDC,2020,72 174 km,45,18 810 €
FORD RANGER 3,III (2) 2.2 TDCI 160 S/S SUPER CAB XLT SPORT,2018,15 081 km,77,33 200 €
TOYOTA RAV 4 (4E GENERATION),IV (2) 2.5 HYBRIDE 197 2WD EXCLUSIVE CVT,2016,86 236 km,92,28 730 €
PEUGEOT PARTNER 2 FOURGON,II (3) 1.6 BLUEHDI 75 STANDARD PREMIUM,2016,109 123 km,69,12 140 €
AUDI Q2,35 TFSI 150 COD SPORT,2020,32 984 km,77,29 250 €
MERCEDES GLA,220 D SENSATION 4MATIC 7G-DCT,2018,103 006 km,67,28 940 €
AUDI A4 (5E GENERATION) AVANT,V AVANT 2.0 TDI 150 DESIGN S TRONIC,2018,72 530 km,84,28 480 €
JAGUAR E-PACE,D180 AWD BUSINESS BVA,2019,115 290 km,57,32 800 €
DS DS 3 CROSSBACK,1.5 BLUEHDI 130 PERFORMANCE LINE + AUTOMATIQUE,2018,31 473 km,66,34 500 €
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE LIMITED EDC,2018,75 422 km,45,19 470 €
PEUGEOT 5008 (2E GENERATION),II 2.0 BLUEHDI 180 S&S GT LINE EAT8,2020,28 271 km,24,42 590 €
OPEL GRANDLAND X,2.0 DIESEL 177 ULTIMATE AUTOMATIQUE,2018,69 829 km,69,25 660 €
PORSCHE PANAMERA 2,II 4 E-HYBRID 5PL,2018,41 571 km,67,108 720 €
PEUGEOT 5008,(2) 1.6 BLUEHDI 120 ACTIVE BUSINESS EAT6 7PL,2018,72 970 km,69,26 380 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE PACK MY21,2023,12 km,33,24 760 €
PORSCHE 911 TYPE 992 TARGA,(992) 3.0 385 TARGA 4,2019,9 979 km,27,216 330 €
PORSCHE PANAMERA 2,II 4 E-HYBRID 4PL,2016,53 774 km,67,113 640 €
RENAULT CLIO 4,IV 1.5 DCI 90 ENERGY BUSINESS ECO2 82G,2016,94 735 km,35,11 530 €
PORSCHE CAYENNE 2,II (2) 3.6 S TIPTRONIC,2014,78 080 km,74,65 750 €
AUDI A6 (5E GENERATION) AVANT,V AVANT 40 TDI 204 BUSINESS EXECUTIVE S TRONIC,2018,77 859 km,31,43 100 €
VOLKSWAGEN TRANSPORTER 5,V 2.0 TDI 102 L1H1 BUSINESS LINE,2014,107 901 km,24,37 500 €
DODGE RAM,1500 5.7 V8 395 GPL HEMI CREW CAB LARAMIE,2019,46 291 km,95,68 980 €
LAND ROVER RANGE ROVER SPORT 2,II 3.0 SDV6 306 19CV HSE AUTO,2014,162 380 km,95,40 120 €
PORSCHE 911 TYPE 991 CABRIOLET,(991) CABRIOLET 3.4 350 CARRERA,2014,112 125 km,27,97 630 €
AUDI A1 SPORTBACK,SPORTBACK 1.4 TFSI 185 S LINE S TRONIC,2015,64 975 km,74,20 320 €
MASERATI GHIBLI 3,III 3.0 V6 DIESEL,2013,79 494 km,95,42 160 €
DACIA DOKKER,1.5 DCI 90 LAUREATE ECO2,2015,120 830 km,11,10 680 €
CITROEN BERLINGO 2,II (3) 1.6 BLUEHDI 100 S&S BUSINESS M,2015,155 428 km,78,11 820 €
OPEL GRANDLAND X,1.5 DIESEL 130 7CV OPEL 2020 AUTO,2019,19 398 km,27,28 600 €
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 ST LINE,2019,77 758 km,35,23 710 €
BMW SERIE 2 F44 GRAN COUPE,(F44) GRAN COUPE 216D M SPORT AUTO,2019,40 959 km,59,38 110 €
RENAULT KANGOO 2 EXPRESS,II (2) CONFORT ENERGY DCI 90,2017,5 487 km,61,15 140 €
MERCEDES CLASSE B 3,III 180 7CV AMG LINE EDITION 7G-DCT,2019,55 115 km,33,35 500 €
KIA NIRO,(2) 1.6 GDI HYBRIDE 141 ACTIVE BUSINESS DCT6,2021,18 529 km,35,30 920 €
OPEL ASTRA 5,V (2) 1.5 DIESEL 122 ULTIMATE,2021,28 429 km,55,20 850 €
AUDI A4 (5E GENERATION),V (3) 35 TFSI 150 S LINE S TRONIC 7,2021,13 375 km,69,38 500 €
RENAULT CAPTUR,(2) 1.5 DCI 90 BUSINESS,2020,43 183 km,24,17 590 €
AUDI Q5 (2E GENERATION),II (2) 40 TDI 204 S LINE QUATTRO S TRONIC 7,2022,16 176 km,30,70 230 €
PEUGEOT 2008,(2) 1.2 PURETECH 82 ACTIVE,2017,34 219 km,66,17 080 €
BMW SERIE 2 F46 GRAN TOURER,(F46) GRAN TOURER 218D SPORT BVA8,2014,130 848 km,74,21 440 €
FORD FIESTA 6 ST,VI 1.5 ECOBOOST 200 S&S ST PACK 3P,2017,49 223 km,38,21 380 €
PEUGEOT 2008,(2) 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS,2018,57 426 km,78,18 000 €
OPEL CORSA 6,VI 1.2 TURBO 100 GS LINE AUTO 5P,2022,20 757 km,27,22 580 €
OPEL ASTRA 5,V 1.0 ECOTEC TURBO 105 EDITION,2016,60 238 km,37,15 450 €
AUDI SQ5,(2) 3.0 V6 BITDI 340 PLUS QUATTRO TIPTRONIC 8,2015,140 220 km,74,43 200 €
CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S ORIGINS BV6,2020,31 684 km,78,25 970 €
RENAULT GRAND SCENIC 4,IV 1.5 DCI 110 ENERGY LIFE,2016,163 584 km,47,13 210 €
CHEVROLET CORVETTE C6,C6 LS2,2007,128 116 km,24,38 610 €
OPEL CORSA 5,V 1.4 90 EDITION 5P,2019,13 194 km,78,12 990 €
VOLVO V70 (3E GENERATION),T6 330CH AWD RDESIGN BY HEICO SPORTIV,2011,198 750 km,92,24 360 €
PEUGEOT 807,(2) 2.0 HDI 163 FAP ALLURE BVA6 7PL,2013,185 546 km,28,13 510 €
CITROEN C4 CACTUS,(2) 1.2 PURETECH 110 S&S FEEL BUSINESS EAT6,2017,57 211 km,78,16 660 €
PORSCHE MACAN,(2) 3.0 S 354,2018,45 292 km,67,94 340 €
PEUGEOT 3008 (2E GENERATION),II 1.6 BLUEHDI 120 S&S ALLURE,2016,104 858 km,11,24 580 €
MINI COUNTRYMAN 2,II COOPER D FINITION CHILI 150 BVA8,2018,78 225 km,24,26 140 €
RENAULT MEGANE 4,IV 1.6 DCI 130 ENERGY INTENS,2017,31 910 km,18,19 150 €
MERCEDES SPRINTER 2,II (2) 314 CDI 37S 3.5T,2019,171 000 km,24,23 820 €
PEUGEOT PARTNER 3 FOURGON,III 1.5 BLUEHDI 130 S&S STANDARD 650KG PREMIUM,2022,5 850 km,33,25 500 €
VOLKSWAGEN PASSAT 8,VIII 2.0 TDI 190 BLUEMOTION TECHNOLOGY 4MOTION CARAT EXCLUSIVE DSG6,2016,100 025 km,69,25 440 €
HONDA HR-V 2,II 1.5 I-VTEC 130 EXECUTIVE NAVI CVT,2018,65 351 km,95,19 600 €
LAND ROVER RANGE ROVER VELAR,2.0 D240 14CV 4WD SE R-DYNAMIC AUTO,2019,42 782 km,95,81 300 €
PEUGEOT 308 (2E GENERATION) SW,II SW 1.6 BLUEHDI 120 S&S ACTIVE BUSINESS,2019,87 852 km,25,14 580 €
PORSCHE MACAN,3.0 V6 GTS,2018,72 142 km,51,79 440 €
CITROEN BERLINGO 2,II (2) 1.6 HDI 75 20 L1 CLUB,2017,133 662 km,24,13 770 €
CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S FEEL BV6,2019,13 946 km,47,26 980 €
FIAT 500 (2E GENERATION),II (2) 1.2 8V 69 POPSTAR,2016,40 955 km,11,12 630 €
MERCEDES CL 3 AMG,III 63 AMG BVA7,2007,97 244 km,61,49 070 €
FORD MUSTANG 6 COUPE,VI FASTBACK 5.0 V8 GT BVA6,2019,22 069 km,38,59 780 €
MERCEDES VITO,TOURER PRO 116 CDI 163 LONG 9G-TRONIC 9PL,2019,40 108 km,57,50 710 €
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 180 HSE DYNAMIC BVA,2016,44 072 km,60,39 370 €
VOLKSWAGEN POLO 6,VI 1.0 65 TRENDLINE,2017,111 212 km,77,12 630 €
AUDI RS6 (3E GENERATION) AVANT,III (2) AVANT 4.0 TFSI 605 PERFORMANCE QUATTRO TIPTRONIC,2017,131 440 km,25,86 670 €
FERRARI GTC4,V12 690CH LUSSO 6.0,2018,42 308 km,06,239 440 €
VOLKSWAGEN GOLF SPORTSVAN,(2) 1.6 TDI 115 BLUEMOTION TECHNOLOGY CARAT DSG7,2018,92 802 km,55,22 580 €
PEUGEOT 208,(2) 1.2 PURETECH 82 SIGNATURE 5P,2020,29 557 km,72,16 080 €
PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ACTIVE BUSINESS EAT6,2020,74 349 km,78,20 630 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT,2020,1 km,42,24 500 €
CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 130 S&S SHINE EAT8,2022,1 km,42,31 550 €
PORSCHE CAYENNE 2,II 3.0 V6 D 245 PLATINIUM EDITION TIPTRONIC,2013,154 988 km,57,42 360 €
DACIA DUSTER,(2) 1.5 DCI 110 FAP PRESTIGE 4X2 EURO6,2014,140 970 km,36,13 300 €
BMW SERIE 3 F31 TOURING,(F31) (2) TOURING 318D 150 M SPORT BVA8,2019,60 876 km,33,31 800 €
KIA SORENTO 3,III 2.2 CRDI 200 ISG ULTIMATE 4WD BVA6,2017,163 813 km,24,26 230 €
PEUGEOT 2008,(2) 1.2 PURETECH 82 ACTIVE,2018,24 770 km,47,14 370 €
AUDI Q3,2.0 TDI 140 AMBIENTE,2013,62 162 km,55,20 500 €
MERCEDES CLASSE A 3,III (2) 180 D BUSINESS EDITION 7G-DCT,2018,95 138 km,24,26 690 €
PORSCHE PANAMERA 2,II (2) 2.9 V6 462 HYBRID 4 EXECUTIVE,2020,10 460 km,37,129 130 €
RENAULT MEGANE 4 RS,IV 1.8 TCE 280 RS EDC,2017,59 171 km,63,37 340 €
MERCEDES CLASSE B 2,II (2) 180 D BUSINESS EDITION,2019,31 613 km,66,21 180 €
PORSCHE 911 TYPE 996,(996) (2) 3.6 CARRERA TARGA,2001,57 875 km,74,56 120 €
MERCEDES CLA,(2) 200 D BUSINESS EDITION,2018,103 565 km,66,29 250 €
RENAULT CLIO 4,IV (2) 0.9 TCE 90 ENERGY BUSINESS,2018,35 968 km,24,13 670 €
RENAULT SCENIC 4,IV 1.7 DCI 120 BLUE BUSINESS EDC,2020,126 748 km,37,16 720 €
KIA STONIC,1.0 T-GDI 120 ISG LAUNCH EDITION,2020,30 249 km,26,19 860 €
MAZDA 3 (3E GENERATION),III (2) 1.5 SKYACTIV-D 105 DYNAMIQUE BV6,2017,81 315 km,24,17 530 €
RENAULT KANGOO 2 EXPRESS,II (2) EXTRA R-LINK ENERGY DCI 90 E6,2018,74 428 km,24,14 020 €
PORSCHE 911 TYPE 991,(991) 3.4 350 CARRERA PDK,2011,125 887 km,95,90 730 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,2020,7 869 km,24,17 030 €
